Time,Demand,Supply
0,400,107
1,570,0
2,580,230
3,430,210
4,250,340
5,210,490
6,340,520
7,530,420
8,600,210
9,480,170
10,290,250
11,200,440
12,290,560
13,480,510
14,600,270
15,530,150
16,340,260
17,210,400
18,250,590
19,430,500
20,580,310
21,570,210
22,400,200
23,230,360
24,220,530
25,370,550
26,550,420
27,590,190
28,450,160
29,270,350
30,200,480
31,320,600
32,510,440
33,600,250
34,510,130
35,310,260
36,200,430
37,270,550
38,460,520
39,590,300
40,550,190
41,370,200
42,220,390
43,230,570
44,400,500
45,570,340
46,580,170
47,420,150
48,250,370
49,210,520
50,350,550
51,530,440
52,600,230
53,480,190
54,290,270
55,200,460
56,300,580
57,490,440
58,600,270
59,530,70
60,340,260
61,210,400
62,250,590
63,430,500
64,580,310
65,570,210
66,390,200
67,230,370
68,220,540
69,380,560
70,550,420
71,590,190
72,450,160
73,260,350
74,200,490
75,320,530
76,510,450
77,600,260
78,500,0
79,310,300
80,200,470
81,270,590
82,460,480
83,590,340
84,550,150
85,360,240
86,220,440
87,240,540
88,410,540
89,570,370
90,580,200
91,420,180
92,240,320
93,210,560
94,350,590
95,540,400
96,600,260
97,480,0
98,290,240
99,200,510
100,300,550
101,490,490
102,600,240
103,520,200
104,340,240
105,210,460
106,250,570
107,440,480
108,590,360
109,560,170
110,390,170
111,230,340
112,220,510
113,380,530
114,560,390
115,590,230
116,450,120
117,260,310
118,200,530
119,330,570
120,520,400
121,600,280
122,500,160
123,310,300
124,200,470
125,280,590
126,470,470
127,590,320
128,540,50
129,360,230
130,210,430
131,240,540
132,410,540
133,570,370
134,580,200
135,420,180
136,240,320
137,210,560
138,350,590
139,540,400
140,600,20
141,470,140
142,280,310
143,200,510
144,300,550
145,490,490
146,600,240
147,520,200
148,330,240
149,210,470
