Time,Average_Price,Demand
0,6.39,400
1,7.03,570
2,7.24,580
3,7.47,430
4,7.44,250
5,7.11,210
6,6.79,340
7,6.63,530
8,6.87,600
9,7.1,480
10,7.22,290
11,7.03,200
12,6.73,290
13,6.43,480
14,6.53,600
15,6.89,530
16,7.0,340
17,6.97,210
18,6.53,250
19,6.24,430
20,6.33,580
21,6.56,570
22,6.8,400
23,6.76,230
24,6.47,220
25,6.17,370
26,6.02,550
27,6.24,590
28,6.59,450
29,6.56,270
30,6.4,200
31,5.99,320
32,5.84,510
33,5.93,600
34,6.27,510
35,6.36,310
36,6.21,200
37,5.93,270
38,5.67,460
39,5.75,590
40,5.97,550
41,6.17,370
42,6.15,220
43,5.75,230
44,5.5,400
45,5.48,570
46,5.67,580
47,5.99,420
48,5.96,250
49,5.7,210
50,5.45,350
51,5.31,530
52,5.51,600
53,5.69,480
54,5.79,290
55,5.64,200
56,5.29,300
57,5.16,490
58,5.23,600
59,5.64,530
60,5.72,340
61,5.7,210
62,5.34,250
63,5.1,430
64,5.18,580
65,5.36,570
66,5.55,390
67,5.53,230
68,5.29,220
69,5.05,380
70,4.93,550
71,5.1,590
72,5.39,450
73,5.36,260
74,5.13,200
75,5.0,320
76,4.89,510
77,4.95,600
78,5.44,500
79,5.54,310
80,5.39,200
81,5.06,270
82,5.08,460
83,5.06,590
84,5.35,550
85,5.54,360
86,5.4,220
87,5.17,240
88,4.93,410
89,4.96,570
90,5.14,580
91,5.32,420
92,5.41,240
93,5.17,210
94,4.89,350
95,4.97,540
96,5.05,600
97,5.56,480
98,5.75,290
99,5.5,200
100,5.25,300
101,5.02,490
102,5.2,600
103,5.39,520
104,5.58,340
105,5.44,210
106,5.1,250
107,4.97,440
108,5.0,590
109,5.18,560
110,5.36,390
111,5.34,230
112,5.1,220
113,4.88,380
114,4.85,560
115,5.03,590
116,5.31,450
117,5.39,260
118,5.15,200
119,5.03,330
120,5.11,520
121,5.19,600
122,5.49,500
123,5.57,310
124,5.43,200
125,5.09,280
126,4.96,470
127,5.04,590
128,5.43,540
129,5.62,360
130,5.49,210
131,5.25,240
132,5.01,410
133,4.99,570
134,5.16,580
135,5.35,420
136,5.44,240
137,5.19,210
138,4.91,350
139,5.0,540
140,5.39,600
141,5.7,470
142,5.79,280
143,5.53,200
144,5.28,300
145,5.05,490
146,5.23,600
147,5.42,520
148,5.62,330
149,5.47,210
