date,body
1999-08-29T08:16:00-07:00,"Please send Pam Benson the information for Joe on where to send the check 
who to make it out to  etc
 Forwarded by Steven J Kean HOU EES on     
PM 


Joseph W 
    AM
To Steven J Kean HOU 
cc Pam Benson  
Subject Re  

Okay thanks Joe



Steven J 
    PM
To Joseph W Sutton 
cc  
Subject 

Joe  Tom Delay is having an event in Houston on Sept   A table is  
Jeff is giving Im giving and the PAC is giving  Would you be willing to 
give 



"
1999-09-10T06:06:00-07:00,"I will attend
 Forwarded by Steven J Kean HOU EES on     
PM 


Bernadette 
    AM
To Steven J Kean HOU  Richard Shapiro HOU 
cc Joe Hartsoe Corp  Sarah Novosel Corp  Maureen 
McVicker HOU  Ginger Dernehl HOU  
Subject Commission Meetings

 Joe Hartsoe and Jeff Skilling are scheduled to meet with FERC Commissioners 
Bailey Massey Hoecker and Breathitt on September  in the afternoon    If 
you would like to attend or have suggestions on others who should attend 
please call Joe Hartsoe at   or Sarah Novosel at   
as soon as possible to let them know  We will also need the bio of anyone 
planning on attending these meetings

Thanx
"
2000-07-24T11:48:00-07:00,"Please do send it out
Thanks for the kind words  I know you know how I feel about your work and I 
have shared that view widely  I have enjoyed working with you I always 
valued your insights  your responsiveness and your work ehtic  I wish you 
all the best in your new role




Gwendolyn 
    PM
To Steven J Kean HOU 
cc  
Subject REVISION  New HR Rep for Public Affairs and Administration

Arquellas last day is Wed  
 Forwarded by Gwendolyn Petteway HR Corp Enron on 
    PM 


Gwendolyn Petteway
    PM
To Steven J Kean HOU 
cc  

Subject New HR Rep for Public Affairs and Administration

Steve please see below my announcement relative to the upcoming HR changes  
If you concur I would like to send this out Monday   to all Govt Affairs 
and PR employees   The formal transition meeting between Kim and I is 
scheduled for Monday   

Effectively Tuesday August  the new HR Representative for Public Affairs 
and Administration is Kim Rizzi    To assist with the transition in HR 
teams Kim and I previously met to discuss current activity for the Public 
Affairs and Administration group  Kim can be reached at ext   Kims 
assistant is Jennifer Jordan and she can be reached at ext  

My team and I have truly enjoyed working with the  Public Affairs and 
Administration Group over the past  years   We have learned a great deal 
and even logged a few miles to fro Washington DC and San Francisco during 
the course of this partnership  It has all been a pleasure and I wish each 
of you the best

Effective August  I will assume the Director of Staffing role for the 
Associate and Analyst Program reporting to Charlene Jackson   Constance 
Charles my assistant will be transferring with me  

Wednesday July th was Arquella Hargrove our Human Resources Associates 
last day with Corp Human Resources  Arquella will rotate to the CALME region 
and support HR Senior Director Janie Bonnard when she returns from her 
leave  No she has not delivered the baby yet but any day now  We hope 
she hopes


Steve I will truly miss working and partnering with you  You have made this 
Enron journey a bright challenging and refreshing experience  








"
2000-07-24T11:52:00-07:00,"These are good fixes  I still think its important for our security people 
to be able to recognize all of our senior executives and make sure their 
guests get where they are going quickly


To Steven J Kean HOU 
cc Susan Skarness HOU  
Subject 

Followup

Steve  

Following up on our conversation Friday we have advised Cliff Baxters 
Assistant that effective immediately Cliff and his quests can pass through 
Security on the Plaza without showing his access card or requiring his 
quests to sign in or identify themselves  All he needs to do is approach the 
front Reception Desks and asking for entry  The receptionists will recognise 
Cliff by sight and ensure that he and his quests pass through  without delay 
 by lifting the adjacent rope

We are asking Cliff to use his badge at the card readers as per standard 
procedure when he is entering the building by himself

We are also refining procedures and upgrading our IT systems data base @ the 
Reception Desk to make it easier on a visitor of any employee  For example 
if you call down to the Plaza Reception Desk and advise that a visitor is 
expected the receptionist will have a pass prepared so as to eliminate the 
sign in process  The guest simply has to exchange their business card for 
the visitor pass  Or if an employee shows their access card at the Reception 
Desk and asks that their guest gain entry that guest can get a badge without 
signing in  Again we ask that the guest exchange their business card for a 
visitor pass

We are  working on installing a new data base @ the Desk that will pull up a 
digitised photo of the employee duplicate of whats on their badge on the 
screen  This will allow employees to get a temporary access badge without 
showing other ID and will speed process

Finally we are testing a small proximity access card which is designed to be 
a duplicate backup for executives  It is sized to fit on a key chain and 
works with our standard card readers

 Bill 
 



"
2000-07-24T11:59:00-07:00,"Sherrie and Rosie  Jeff and Ken both received notes from Tom Delay about 
designating portions of their contributions for use  in Texas  Mr DeLay 
would like them to make that designation using the letter below note that it 
will need to be modified to be from each individually rather than a joint 
letter  It is of course up to Ken and Jeff whether to make the 
designation
 Forwarded by Steven J Kean HOU EES on     
PM 

Cynthia 
    PM


To Steven J Kean HOU 
cc Elizabeth Linnell HOU  Carolyn Cooney Corp  Joe 
Hillings Corp  
Subject Jeff Skillings letter from Tom DeLay re RNSEC

Steve  Per your voicemail attached is the written response suggested by 
Congressman DeLays fundraiser  We cannot per his suggested text write one 
letter on behalf of both Ken Lay and Jeff Skilling due to bundling rules we 
should write two separate letters and we should put it on personal 
stationery and not corporate letterhead  Please let Carolyn or I know if you 
need anything further on this  Thanks Cynthia



 on     PM
To 
cc  

Subject no subject


Carolyn and Cynthia

       You should write this letter on your letter head and direct it to Joe
Jaso and copy Tom DeLay Jim Ellis and myself All funds where money could
be left in the State of Texas from corporate and personal should be included

Dear Joe

       Enron Mr Ken Lay and Mr Skilling are requesting that their
contribution be matched per our understanding from the fax and verbal
communications from Warren RoBold This totals  between both
individuals and the Corporation for the RNSEC matching funds program We want
these funds matched in time for the Texas State deadlines It was our
intention from the onset of this program to have our funds go to this
account The various points of contact from the RNC caused some minor
confusion so checks went to Texas instead of DC This is very important to
Mr Lay and Mr Shilling
        Let us know if we need to request these funds returned and new checks
written and mailed to you at your DC address You may call me if you have any
questions




"
2000-07-25T07:08:00-07:00,"Lou  you may be maxed out on Franks now  Dont write a check for the 
August fundraiser until you have talked to Eliz Labanowski
 Forwarded by Steven J Kean HOU EES on     
PM 


Elizabeth Linnell
    PM
To Elizabeth Labanowski EPSC HOU  Steven J Kean HOU  Richard 
Shapiro HOU  Carolyn Cooney Corp 
cc  
Subject Lous 

FYI  Looks like theyve already done the distribution  I didnt ever hear 
from Sue Pai Yang so wasnt able to refer her to Tom Marinis
 Forwarded by Elizabeth Linnell HOU EES on    
 PM 
   
	Enron Energy Services
	
	From  Karen Owens                               PM
	

To Elizabeth Linnell HOU 
cc  
Subject Lous 


Lous  was dispursed as follows

Republican National Committee for Eagles membership
 Sue Pai Yang  Chair of the Republican Task Force of the National 
Womens Political Caucus
 Roselyn OConnell President of NWPC

  NJ Republican State Commitee
  Bob Franks Victory Fund
  Asian American Republican Convention




"
2000-07-25T07:09:00-07:00,"If you think this is worth pursuing get in touch with Christie
 Forwarded by Steven J Kean HOU EES on     
PM 
From Christi L  on     PM
To James D Steffes HOU 
cc Steven J Kean HOU  Richard Shapiro HOU  Joe 
Hartsoe Corp  Kevin M Presto HOU  
Subject Idea


AEP ComEd Duke and CPL announced last week that they would be 
collaborating on a new version of a net based system better than OASIS  I 
think that Enron should consider joining with these utilities on this  There 
may be substantial Enron upside to such a venture from added information 
disclosure and standardization and streamlining for easier use

On   FERC issued an Advance NOPR asking for input by    on OASIS 
Phase II the new OASIS proposal  In particular FERC states that this new 
OASIS should address i communication of critical market information like 
transmission rights ii posting of ATC TTC and CBM and ii seams 
issues between RTOs transmission service across multiple RTOs  FERC says 
that the new OASIS should make use of Internet interactive displays etc  
FERC also asks for information on dynamic notification where the OASIS 
automatically alerts the customer to changes in ATC reservations etc  
This type of functionality would allow Enron to determine if it wants to stay 
in a queue when transmission becomes available rather than getting kicked 
out after the first denial for lack of ATC  FERC also wants information on 
whether generatorrun status should be included on OASIS electronic 
scheduling which can now be done via etag and business practices that 
should be standardized
Enron could have significant input to force these utilities to propose a 
good customer friendly system that provides valid and helpful data on ATC 
TTC and CBM rather than the total lack of substantive information that is 
available today  Recall that Enron proposed that CBM use be postedFERC 
has not adopted that idea yet
Because these are critical utilities any system that they propose may be 
very likely to be adopted with some changes  I think it is better to be in 
on the front end  Enrons participation would also give validity to their 
system
Dan Larcamp told me that he would like more classes for his staff from 
Enron and that we should give joint classes with AEP because Susan Tomasky 
told Dan L that AEP has nothing to hide  This type of venture would allow 
AEP one venue to make good on that statement
Steve K asked us to pursue the idea that Enron build a computer system  
This may be a good way to have significant input while leveraging these 
companies money and promoting Enrons congestion model ideas etc
"
2000-07-25T07:09:00-07:00,"Offer him the job



Rob 
    PM


To Steven J Kean HOU 
cc Andrew Miles HOU  
Subject Alhamds Presentations

FYIgo to the Internet Strategy one for what you need

I am pretty sure he will work out with me and Jeffyou can pull the trigger 
and hire him with my concurrence if you feel comfortable enough

 Rob

 Forwarded by Rob Bradley Corp Enron on    
 AM 
Alhamd Alkhayat @ ENRONDEVELOPMENT       PM

To Rob 
cc  

Subject Alhamds Presentations

Rob

I think the meeting with Steve went great  He asked me to forward you some 
presentations that I have made and that you would pass them on to him  They 
are here in reverse chrono order  Pass my regards and enjoy your vacation

Cheers

Hamd






"
2000-07-25T07:15:00-07:00," Forwarded by Steven J Kean HOU EES on     
PM 


Mark 
    AM
To Steven J Kean HOU  Kathryn Corbally Corp  Margaret 
Carson Corp  Rob Bradley Corp  Richard 
Shapiro HOU 
cc Peter Styles LON  
Subject EU household  industrial consumers benefit from lower electricty 
prices

Interesting info for those of you who follow or have an interest in this type 
of data regarding succes of market liberalisation  Further interesting to 
note that household prices fell in Sweden and Finland markets that already 
had liberalised wholesale markets after furhter market opening to 
residential secotr  Note fall in German prices which despite bad access 
regime ended up with a suicidal competition in the wholesale market by 
incumbents  Let me know if you need more have any questions   mcs
 Forwarded by Mark Schroeder LON ECT on    
 


Peter Styles
   
To Kyran Hanks LON  Mark Schroeder LON 
cc Nailia Dindarova LON  

Subject EU household  industrial consumers benefit from lower electricty 
prices

Some useful stats below 


 Forwarded by Peter Styles LON ECT on     

   
	Enron Capital  Trade Resources Corp
	
	From  EETC                               
	

To Hanna Maria Tarjamo  Martin Sjolund 
 CJ Schroot  C van 
der Kaa  P de Visser  
Fernando Lasheras  Christina Tapper 
 Stig Goethe 
 Kaija Kainurinne 
 Kari Huopalahti 
 Jaime Echevarria 
 Bruno Grobner 
 Klaus Willnow 
 Peter Styles  Nailia 
Dindarova  Jaakko Tusa 

cc  

Subject EU household  industrial consumers benefit from lower electricty 
prices



For your information please find attached a  summary and a short analysis of 
two reports just out the th of July by Eurostat the Statistical Office of 
the European  Communities in Luxembourg which present the prices of 
electricity for both  domestic and industrial consumers collected on  
January  



  Electricity prices in the EU between  and doc




"
2000-07-25T07:16:00-07:00,"What do you think
 Forwarded by Steven J Kean HOU EES on     
PM 


Mark 
    AM
To Steven J Kean HOU  Richard Shapiro HOU 
cc  
Subject RE EC Changes and Related Matters

The fellow from GE Tim Richards on this email is the person I have 
mentioned to each of you might be a worthwhile candidate for heading the DC 
office   mcs
 Forwarded by Mark Schroeder LON ECT on    
 
   
	Enron Capital  Trade Resources Corp
	
	From  Richards Tim J CORP                
               
	

To   
   
@compuservecom  
cc    
 

Subject RE EC Changes and Related Matters


Joe

Although I dont have his bio Ive known Herve Joanjean for about  years
He has served in the EU mission t the WTO as a mid level market access
negotiator and in Brussels mostly on industrial goods market access
negotiations  His move to Madelins job is a lateral one from the
industrial goods side to the services side of DGTrade

In the mid s I worked with Herve quite a bit and found him to be
trustworthy and conscientious  He was a pleasure to work with and although
we will miss having Robert in the Services position Herve is a good
replacement

 Tim

Timothy J Richards
GE International Law  Policy
 Pennsylvania Avenue NW W
Washington DC  

Phone    DialCom  
Fax        DialCom Fax  


Original Message
From  
Sent Monday July    AM
To  
 @compuservecom Richards Tim J CORP
 
Cc  
 
Subject EC Changes and Related Matters


Bob Vastine reports that Robert Madellin will be moving from the Services
portfolio this fall to Agriculture and some other high sounding
responsibility He is being succeeded by Herve Jouanjean with Michel Servoz
as number  Does anyone have biographical information on Herve
Jouanjean

Andrew Buxton who heads the European Services Network will be here for
meetings with CSI and ISACs this week and also in NYC with CSI and
Japaneese counterparts Bob told me that Vivendi is the only energy
interest involved as members of Andrews group and they have expressed no
interest in liberalized energy services This would seem to be an
opportunity for the UK electricity association to advise him of their
interests and possibly the drilling people

During the ISAC  meeting last week USTR Peter Collins reported that the
WTO Working Party Dealing With Chinas accession had expressed concern with
the recent negotiation in which the Chineese won a series of exemptions and
in the case of energy services and possibly ecommerce there are price
controls  We were told that a number of law firms in Washington are
opposing any USTR acceptance of this provision and Bob Vastine informed
ISAC  members should they have a view on price controls

Trade Ministers will meet in September and are likely to ratify the China
accession regardless of the WTO Working Group issues  You need to let us
know if Enron should consider filing a statement regarding price controls
for energy services and ecommerce services

Joe


"
